Date,Confirmed,Recovered,Deaths,Active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,3,0,0,3
2020-01-26,4,0,0,4
2020-01-27,4,0,0,4
2020-01-28,4,0,0,4
2020-01-29,7,0,0,7
2020-01-30,8,0,0,8
2020-01-31,8,0,0,8
2020-02-01,8,0,0,8
2020-02-02,8,0,0,8
2020-02-03,8,0,0,8
2020-02-04,10,0,0,10
2020-02-05,12,0,0,12
2020-02-06,12,0,0,12
2020-02-07,12,1,0,11
2020-02-08,16,1,0,15
2020-02-09,16,1,0,15
2020-02-10,18,1,0,17
2020-02-11,18,3,0,15
2020-02-12,18,3,0,15
2020-02-13,19,3,0,16
2020-02-14,19,3,0,16
2020-02-15,22,7,0,15
2020-02-16,22,7,0,15
2020-02-17,22,7,0,15
2020-02-18,22,13,0,9
2020-02-19,22,15,0,7
2020-02-20,22,15,0,7
2020-02-21,22,15,0,7
2020-02-22,22,15,0,7
2020-02-23,22,15,0,7
2020-02-24,22,18,0,4
2020-02-25,22,18,0,4
2020-02-26,22,18,0,4
2020-02-27,23,18,0,5
2020-02-28,23,18,0,5
2020-02-29,25,18,0,7
2020-03-01,29,18,0,11
2020-03-02,29,18,0,11
2020-03-03,36,22,0,14
2020-03-04,50,22,0,28
2020-03-05,50,22,0,28
2020-03-06,83,22,0,61
2020-03-07,93,23,0,70
2020-03-08,99,24,0,75
2020-03-09,117,24,0,93
2020-03-10,129,24,0,105
2020-03-11,149,26,0,123
2020-03-12,149,26,0,123
2020-03-13,197,26,0,171
2020-03-14,238,35,0,203
2020-03-15,428,42,0,386
2020-03-16,566,42,0,524
2020-03-17,673,49,2,622
2020-03-18,790,60,2,728
2020-03-19,900,75,2,823
2020-03-20,1030,87,3,940
2020-03-21,1183,114,4,1065
2020-03-22,1306,139,10,1157
2020-03-23,1518,139,14,1365
2020-03-24,1624,183,16,1425
2020-03-25,1796,199,20,1577
2020-03-26,2031,215,23,1793
2020-03-27,2161,259,26,1876
2020-03-28,2320,320,27,1973
2020-03-29,2470,388,35,2047
2020-03-30,2626,479,37,2110
2020-03-31,2766,537,43,2186
2020-04-01,2908,645,45,2218
