Month,Day,ConfirmDiff,RecoverDiff,DeathsDiff
1,22,0.0,0.0,0.0
1,23,0.0,0.0,0.0
1,24,0.0,0.0,0.0
1,25,3.0,0.0,0.0
1,26,1.0,0.0,0.0
1,27,0.0,0.0,0.0
1,28,0.0,0.0,0.0
1,29,3.0,0.0,0.0
1,30,1.0,0.0,0.0
1,31,0.0,0.0,0.0
2,1,0.0,0.0,0.0
2,2,0.0,0.0,0.0
2,3,0.0,0.0,0.0
2,4,2.0,0.0,0.0
2,5,2.0,0.0,0.0
2,6,0.0,0.0,0.0
2,7,0.0,1.0,0.0
2,8,4.0,0.0,0.0
2,9,0.0,0.0,0.0
2,10,2.0,0.0,0.0
2,11,0.0,2.0,0.0
2,12,0.0,0.0,0.0
2,13,1.0,0.0,0.0
2,14,0.0,0.0,0.0
2,15,3.0,4.0,0.0
2,16,0.0,0.0,0.0
2,17,0.0,0.0,0.0
2,18,0.0,6.0,0.0
2,19,0.0,2.0,0.0
2,20,0.0,0.0,0.0
2,21,0.0,0.0,0.0
2,22,0.0,0.0,0.0
2,23,0.0,0.0,0.0
2,24,0.0,3.0,0.0
2,25,0.0,0.0,0.0
2,26,0.0,0.0,0.0
2,27,1.0,0.0,0.0
2,28,0.0,0.0,0.0
2,29,2.0,0.0,0.0
3,1,4.0,0.0,0.0
3,2,0.0,0.0,0.0
3,3,7.0,4.0,0.0
3,4,14.0,0.0,0.0
3,5,0.0,0.0,0.0
3,6,33.0,0.0,0.0
3,7,10.0,1.0,0.0
3,8,6.0,1.0,0.0
3,9,18.0,0.0,0.0
3,10,12.0,0.0,0.0
3,11,20.0,2.0,0.0
3,12,0.0,0.0,0.0
3,13,48.0,0.0,0.0
3,14,41.0,9.0,0.0
3,15,190.0,7.0,0.0
3,16,138.0,0.0,0.0
3,17,107.0,7.0,2.0
3,18,117.0,11.0,0.0
3,19,110.0,15.0,0.0
3,20,130.0,12.0,1.0
3,21,153.0,27.0,1.0
3,22,123.0,25.0,6.0
3,23,212.0,0.0,4.0
3,24,106.0,44.0,2.0
3,25,172.0,16.0,4.0
3,26,235.0,16.0,3.0
3,27,130.0,44.0,3.0
3,28,159.0,61.0,1.0
3,29,150.0,68.0,8.0
3,30,156.0,91.0,2.0
3,31,140.0,58.0,6.0
4,1,142.0,108.0,2.0
4,2,208.0,122.0,5.0
4,3,217.0,60.0,3.0
4,4,150.0,88.0,4.0
4,5,179.0,90.0,4.0
4,6,131.0,236.0,1.0
4,7,170.0,80.0,1.0
4,8,156.0,166.0,2.0
4,9,109.0,121.0,2.0
4,10,118.0,222.0,3.0
4,11,184.0,165.0,3.0
4,12,153.0,113.0,3.0
4,13,134.0,168.0,1.0
4,14,170.0,202.0,5.0
4,15,85.0,169.0,1.0
4,16,110.0,119.0,1.0
4,17,69.0,201.0,2.0
4,18,54.0,135.0,2.0
4,19,84.0,95.0,1.0
4,20,36.0,98.0,0.0
4,21,57.0,54.0,3.0
4,22,50.0,103.0,1.0
4,23,71.0,90.0,2.0
4,24,88.0,121.0,1.0
4,25,51.0,99.0,2.0
4,26,38.0,100.0,0.0
4,27,40.0,95.0,1.0
4,28,31.0,75.0,1.0
4,29,94.0,55.0,0.0
4,30,57.0,84.0,2.0
5,1,69.0,39.0,1.0
5,2,105.0,116.0,0.0
5,3,122.0,87.0,2.0
5,4,55.0,71.0,0.0
5,5,30.0,83.0,1.0
5,6,45.0,135.0,1.0
5,7,39.0,74.0,0.0
5,8,68.0,88.0,0.0
5,9,54.0,65.0,1.0
5,10,67.0,96.0,0.0
5,11,70.0,88.0,1.0
5,12,16.0,110.0,0.0
5,13,37.0,58.0,2.0
5,14,40.0,70.0,1.0
5,15,36.0,88.0,0.0
5,16,17.0,73.0,1.0
5,17,22.0,59.0,0.0
5,18,47.0,44.0,0.0
5,19,37.0,31.0,1.0
5,20,31.0,60.0,0.0
5,21,50.0,90.0,0.0
5,22,78.0,63.0,1.0
5,23,48.0,53.0,0.0
5,24,60.0,33.0,0.0
5,25,172.0,34.0,0.0
5,26,187.0,62.0,0.0
5,27,15.0,42.0,0.0
5,28,10.0,86.0,0.0
5,29,103.0,66.0,0.0
5,30,30.0,95.0,0.0
5,31,57.0,23.0,0.0
6,1,38.0,51.0,0.0
6,2,20.0,66.0,0.0
6,3,93.0,61.0,0.0
6,4,277.0,28.0,0.0
6,5,19.0,51.0,1.0
6,6,37.0,25.0,1.0
6,7,19.0,39.0,0.0
6,8,7.0,20.0,0.0
6,9,7.0,281.0,0.0
6,10,2.0,39.0,1.0
6,11,31.0,51.0,0.0
6,12,33.0,103.0,1.0
6,13,43.0,143.0,1.0
6,14,8.0,35.0,1.0
6,15,41.0,54.0,0.0
6,16,11.0,333.0,0.0
6,17,10.0,140.0,0.0
6,18,14.0,127.0,0.0
6,19,6.0,70.0,0.0
6,20,21.0,76.0,0.0
6,21,16.0,10.0,0.0
6,22,15.0,21.0,0.0
6,23,3.0,9.0,0.0
6,24,6.0,45.0,0.0
6,25,4.0,40.0,0.0
6,26,6.0,23.0,0.0
6,27,10.0,14.0,0.0
6,28,18.0,10.0,0.0
6,29,3.0,16.0,0.0
6,30,2.0,20.0,0.0
7,1,1.0,21.0,0.0
7,2,3.0,62.0,0.0
7,3,5.0,9.0,0.0
7,4,10.0,15.0,0.0
7,5,5.0,4.0,0.0
7,6,5.0,11.0,0.0
7,7,6.0,5.0,0.0
7,8,3.0,5.0,0.0
7,9,6.0,13.0,0.0
7,10,13.0,12.0,0.0
7,11,8.0,4.0,1.0
7,12,14.0,4.0,0.0
7,13,7.0,1.0,0.0
7,14,4.0,4.0,0.0
7,15,5.0,2.0,0.0
7,16,3.0,12.0,0.0
7,17,18.0,3.0,0.0
7,18,9.0,5.0,0.0
7,19,15.0,7.0,1.0
7,20,21.0,2.0,0.0
7,21,15.0,7.0,0.0
7,22,16.0,4.0,0.0
7,23,9.0,8.0,0.0
7,24,21.0,3.0,0.0
7,25,23.0,17.0,0.0
7,26,13.0,6.0,1.0
7,27,7.0,1.0,0.0
7,28,39.0,6.0,0.0
7,29,13.0,5.0,0.0
7,30,8.0,5.0,0.0
7,31,12.0,27.0,1.0
8,1,9.0,3.0,0.0
8,2,14.0,17.0,0.0
8,3,2.0,4.0,0.0
8,4,1.0,16.0,0.0
8,5,21.0,18.0,0.0
8,6,15.0,11.0,0.0
8,7,25.0,15.0,0.0
8,8,7.0,47.0,0.0
8,9,13.0,9.0,0.0
8,10,11.0,19.0,0.0
